tconst,parentTconst,seasonNumber,episodeNumber
tt2802788,tt2258266,2.0,6.0
tt28027885,tt21805840,,
tt2802790,tt2785408,1.0,10.0
tt28027953,tt8171352,8.0,32.0
tt2802796,tt0096597,23.0,149.0
tt28027993,tt21805840,,
tt28028005,tt6634502,,
tt28028021,tt21805840,,
tt28028072,tt21805840,,
tt2802808,tt0185065,,
tt2802812,tt0185065,,
tt2802814,tt0185065,,
tt2802816,tt0185065,,
tt28028182,tt21805840,,
tt2802820,tt1924506,1.0,1.0
tt2802822,tt1924506,1.0,3.0
tt2802824,tt1924506,1.0,5.0
tt28028241,tt5763680,4.0,15.0
tt2802826,tt1924506,1.0,4.0
tt28028277,tt21805840,,
tt2802832,tt1924506,1.0,2.0
tt2802836,tt1924506,1.0,6.0
tt28028371,tt8171352,8.0,33.0
tt28028376,tt21805840,,
tt28028381,tt21805840,,
tt28028388,tt21805840,,
tt28028399,tt21805840,,
tt28028401,tt21805840,,
tt28028402,tt21805840,,
tt28028404,tt27674369,3.0,9.0
tt28028406,tt5763680,4.0,17.0
tt28028414,tt21805840,,
tt28028415,tt0056758,,
tt28028416,tt8171352,8.0,34.0
tt28028417,tt21805840,,
tt28028418,tt21805840,,
tt28028419,tt21805840,,
tt2802842,tt0185065,,
tt28028420,tt8171352,8.0,35.0
tt28028422,tt27835402,1.0,17.0
tt28028423,tt11760808,,
tt28028424,tt27890878,,
tt28028425,tt27890878,,
tt28028427,tt27890878,,
tt28028428,tt11760808,,
tt28028429,tt27890878,,
tt28028431,tt27890878,,
tt28028432,tt27890878,,
tt28028433,tt11760808,,
tt28028436,tt8171352,8.0,36.0
tt28028441,tt0815420,,
tt28028442,tt8171352,8.0,37.0
tt28028443,tt5763680,4.0,13.0
tt28028448,tt11760808,,
tt28028449,tt8171352,8.0,38.0
tt28028455,tt5763680,4.0,18.0
tt28028459,tt8171352,8.0,39.0
tt28028462,tt5763680,4.0,19.0
tt28028465,tt8171352,8.0,40.0
tt28028471,tt5763680,4.0,20.0
tt28028475,tt8171352,8.0,41.0
tt2802848,tt0185065,,
tt28028491,tt8171352,8.0,42.0
tt28028495,tt8171352,8.0,43.0
tt28028516,tt2070564,,
tt28028520,tt15162022,2.0,152.0
tt28028522,tt15162022,2.0,153.0
tt28028524,tt15162022,2.0,154.0
tt28028525,tt8171352,8.0,44.0
tt28028527,tt15162022,2.0,155.0
tt28028528,tt15162022,2.0,156.0
tt28028532,tt27303338,1.0,13.0
tt28028537,tt8171352,8.0,45.0
tt28028540,tt27580377,1.0,1.0
tt28028541,tt27580377,1.0,2.0
tt28028542,tt27580377,1.0,3.0
tt28028543,tt8171352,8.0,46.0
tt28028544,tt27580377,1.0,4.0
tt28028548,tt11760808,,
tt28028549,tt27580377,1.0,5.0
tt28028550,tt27580377,1.0,6.0
tt28028551,tt27580377,1.0,7.0
tt28028552,tt27580377,1.0,8.0
tt28028553,tt27580377,1.0,10.0
