tconst,directors,writers
tt0930422,nm0331069,
tt0930423,nm0021975,nm0759415
tt0930424,nm0354793,nm0759415
tt0930425,nm0567754,nm0863481
tt0930426,nm0320637,nm0779606
tt0930427,nm0331069,nm0320637
tt0930428,nm0331069,nm0863481
tt0930429,nm0331069,nm0759415
tt0930430,nm0354793,nm0759415
tt0930431,nm0320637,nm0779606
tt0930432,nm0331069,nm0779606
tt0930433,nm0395105,nm0759415
tt0930434,nm0331069,nm0759415
tt0930435,nm0354793,nm0863481
tt0930436,nm0331069,nm0759415
tt0930437,nm0320637,nm0759415
tt0930438,nm0331069,nm0863481
tt0930439,nm0331069,nm0320637
tt0930440,nm0021975,nm0779606
tt0930441,nm0320637,nm0320637
tt0930442,nm0021975,nm0759415
tt0930443,nm0395105,nm0759415
tt0930444,,nm0759415
tt0930445,nm0331069,nm0863481
tt0930446,nm0320637,"nm0192810,nm0320637"
tt0930447,nm0331069,nm0863481
tt0930448,nm0354793,nm0863481
tt0930449,nm0395105,nm0779606
tt0930450,nm0567754,nm0759415
tt0930451,nm0331069,nm0759415
tt0930452,nm0897374,"nm1876442,nm1892732"
tt0930453,,
tt0930454,,"nm1650308,nm1650309"
tt0930455,nm2271023,
tt0930456,nm2271023,nm1941577
tt0930457,nm2271023,
tt0930458,nm2271023,
tt0930459,nm2271023,
tt0930460,nm2271023,
tt0930461,nm2271023,
tt0930462,nm2271023,
tt0930463,nm2271023,
tt0930464,nm2271023,
tt0930465,nm0489641,
tt0930466,nm0489641,
tt0930467,nm0489641,
tt0930468,nm0489641,
tt0930469,nm1033993,
tt0930470,nm1033993,nm3005349
tt0930471,nm1033993,nm2278263
tt0930472,nm1033993,"nm7854975,nm2278263"
tt0930473,nm0084091,
tt0930474,nm0084091,
tt0930475,nm0489641,
tt0930476,nm0489641,
tt0930477,,
tt0930478,,
tt0930479,,
tt0930480,,
tt0930481,,
tt0930482,,
tt0930483,,
tt0930484,,
tt0930485,,
tt0930486,,
tt0930487,,
tt0930488,nm0006753,nm2504926
tt0930489,,
tt0930490,,
tt0930491,,nm0992633
tt0930492,,
tt0930493,,
tt0930494,,
tt0930495,,
tt0930496,,
tt0930497,,
tt0930498,,
tt0930499,"nm0031653,nm1054948,nm1994713,nm0962713","nm0466628,nm0663607,nm0836809,nm1325877,nm1847800,nm2175439"
tt0930500,"nm0031653,nm1054948,nm1994713,nm0962713","nm0466628,nm0663607,nm0836809,nm1325877,nm1847800,nm2175439"
tt0930501,nm0109519,nm0627272
tt0930502,,
tt0930503,,
tt0930504,nm0493894,"nm0493894,nm0493904"
tt0930505,,
tt0930506,nm0182818,"nm0182818,nm0795229"
tt0930507,nm1044941,nm0065888
tt0930508,nm0779670,nm0578459
tt0930509,nm0779670,"nm0697362,nm0779670"
tt0930510,nm0365013,nm0203926
tt0930511,nm1048561,
tt0930512,nm0924880,nm0321244
tt0930513,,
tt0930514,,
tt0930515,,
tt0930516,,
tt0930517,nm0617451,"nm0526847,nm0617451"
tt0930518,nm2407008,nm2475163
tt0930519,,
tt0930520,nm0477917,nm0047052
tt0930521,nm0477917,nm0047052
tt0930522,nm0477917,nm0047052
tt0930523,nm0477917,nm0047052
tt0930524,nm0477917,nm0047052
tt0930525,nm0477917,nm0047052
tt0930526,nm0477917,nm0047052
tt0930527,nm0477917,nm0047052
tt0930528,nm0477917,nm0047052
tt0930529,nm0477917,nm0047052
tt0930530,nm0477917,nm0047052
tt0930531,nm0477917,nm0047052
tt0930532,nm0477917,nm0047052
tt0930533,nm0477917,nm0047052
tt0930534,nm0477917,nm0047052
tt0930535,nm0477917,nm0047052
tt0930536,nm0178807,"nm7596050,nm0714961,nm2193191"
tt0930537,,
tt0930538,,nm0459721
tt0930539,,nm0459721
tt0930540,,nm0459721
tt0930541,,nm0459721
tt0930542,,nm0459721
tt0930543,,nm0459721
tt0930544,,nm0459721
tt0930545,,nm0459721
tt0930546,,nm0459721
tt0930547,,nm0459721
tt0930548,,nm0459721
tt0930549,,nm0459721
tt0930550,,nm0295740
tt0930551,nm0047047,nm0825688
tt0930554,,
tt0930555,nm0461536,
tt0930556,nm0025263,
tt0930557,nm2504941,nm2504941
tt0930558,nm2504941,nm2504941
tt0930559,,
tt0930560,,
tt0930561,nm0926024,nm0926024
tt0930562,,
tt0930563,nm1226534,
tt0930564,nm0403509,
tt0930565,,
tt0930566,,
tt0930567,nm0025263,nm0025263
tt0930568,nm0193005,nm7238916
tt0930569,,
tt0930570,,
tt0930571,,
tt0930572,,
tt0930573,nm2198539,nm2198539
tt0930574,,
tt0930575,,
tt0930576,nm0063612,nm0934979
tt0930577,,
tt0930578,nm2504941,nm2504941
tt0930579,nm2504941,nm2504941
tt0930580,nm2504941,nm2504941
tt0930581,nm3110067,
tt0930582,nm3110067,
tt0930583,nm3110067,
tt0930584,nm3110067,
tt0930585,nm2504941,nm2504941
tt0930586,nm2504941,nm2504941
tt0930587,nm2504941,nm2504941
tt0930588,,
tt0930589,nm0025263,
tt0930590,,
tt0930591,,
tt0930592,nm0198523,nm0293187
tt0930593,,
tt0930594,,
tt0930595,,
tt0930596,nm0154267,
tt0930597,nm0884299,nm1999702
tt0930598,nm0807871,
tt0930599,nm0234149,
tt0930600,,
tt0930601,,
tt0930602,,
tt0930603,,
tt0930604,,
tt0930605,nm0000252,
tt0930606,nm0000252,
tt0930607,,
tt0930608,,
tt0930609,,
tt0930610,,
tt0930611,nm0171440,
tt0930612,,
tt0930613,nm0357906,
tt0930614,nm2504941,nm2504941
tt0930615,nm2504941,nm2504941
tt0930616,nm2504941,nm2504941
tt0930617,nm0025263,nm0025263
tt0930618,,
tt0930619,nm2050347,
tt0930620,,
tt0930621,,
tt0930622,,
tt0930623,,
tt0930624,,
tt0930625,nm0000252,
tt0930626,nm0539950,
tt0930627,,
tt0930628,"nm1649287,nm2054532",
tt0930629,,
tt0930630,,
tt0930631,nm0694260,"nm0578507,nm7383719"
tt0930632,,
tt0930633,,
tt0930634,,
tt0930635,,
tt0930636,,
tt0930637,,
tt0930638,,
tt0930639,,
tt0930640,,
tt0930641,,
tt0930642,,
tt0930643,,
tt0930644,,
tt0930645,nm1929744,"nm0495734,nm1303423"
tt0930646,nm1929744,nm0495734
tt0930647,nm1929744,"nm0495734,nm0844264"
tt0930648,nm1929744,"nm0495734,nm1929744"
tt0930649,nm1929744,nm0495734
tt0930650,nm1929744,nm0495734
tt0930651,nm1929744,"nm0495734,nm1303423"
tt0930652,nm1929744,"nm0495734,nm1303423,nm0844264"
tt0930653,nm1929744,nm0495734
tt0930654,nm1929744,"nm0183328,nm0487548,nm0495734,nm1303423,nm0844264"
tt0930655,nm1929744,"nm0098898,nm1839655,nm0495734,nm0844264"
tt0930656,nm1929744,nm0495734
tt0930657,nm1929744,"nm0495734,nm1303423"
tt0930658,,"nm0546100,nm0740537"
tt0930659,,nm0338804
tt0930660,,nm0388841
tt0930661,,"nm0331944,nm0934281"
tt0930662,,nm0331944
tt0930663,,
tt0930664,,nm0331944
tt0930665,,"nm0042853,nm0331944"
tt0930666,,nm0042853
tt0930667,,nm0042853
tt0930668,,"nm0042853,nm0331944"
tt0930669,,
tt0930670,nm0918659,nm0331944
tt0930671,nm0918659,nm0331944
tt0930672,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930673,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930674,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930675,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930676,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930677,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930678,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185","nm1919867,nm1983565"
tt0930679,"nm0192463,nm0227486,nm0248119,nm1919867,nm0942185",nm1919867
tt0930680,"nm0192463,nm0227486,nm0248119,nm1919867,nm0942185",nm1919867
tt0930681,"nm0192463,nm0227486,nm0248119,nm1919867,nm0942185",nm1919867
tt0930682,"nm0192463,nm0227486,nm0248119,nm1919867,nm0942185",nm1919867
tt0930683,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930684,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930685,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930686,"nm0192463,nm0227486,nm0248119,nm0324426,nm1919867,nm0942185",nm1919867
tt0930687,,
tt0930688,,
tt0930689,,
tt0930690,,
tt0930691,,
tt0930692,,
tt0930693,,
tt0930694,,
tt0930695,,
tt0930696,,
tt0930697,,
tt0930698,,
tt0930699,,
tt0930700,,
tt0930703,,
tt0930704,,
tt0930705,,
tt0930706,,
tt0930707,nm0330036,
tt0930708,nm0330036,nm0578439
tt0930709,nm0326360,
tt0930710,nm0204537,
tt0930711,nm0204537,nm0363492
tt0930712,nm0881175,
tt0930713,nm0204537,
tt0930714,nm0330036,nm0279795
tt0930715,"nm1661491,nm0932995","nm0006963,nm0516027,nm0606756,nm0672886,nm0343186"
tt0930716,nm2506577,
tt0930717,nm0042500,"nm0743702,nm0852578"
tt0930718,nm0766191,"nm0743702,nm0841858"
tt0930719,nm0002155,"nm0279220,nm1642592,nm0743702"
tt0930720,nm0278240,"nm0743702,nm1618292"
tt0930721,nm0766191,"nm0088657,nm0743702,nm0852578"
tt0930722,nm0072530,"nm0278915,nm0743702,nm1618292"
tt0930723,nm0002155,"nm0152501,nm0279220,nm0743702"
tt0930724,nm0766191,"nm0152501,nm0279220,nm0743702"
tt0930725,nm0042500,"nm0730500,nm0743702"
tt0930726,,
tt0930727,,
tt0930728,,
tt0930729,,
tt0930730,,
tt0930731,,
tt0930732,,
