tconst,averageRating,numVotes
tt13964674,6.0,15
tt13964676,6.5,15
tt1396469,8.1,15
tt1396474,8.2,37
tt13964762,5.2,6
tt1396479,4.2,300
tt13964800,7.6,30
tt13964806,6.5,929
tt1396481,7.5,40
tt1396484,7.3,649914
tt13964854,8.9,453
tt1396488,7.4,5
tt1396491,7.4,11
tt13964912,8.2,24
tt1396492,7.0,8
tt1396493,5.1,32
tt1396494,7.1,26
tt1396496,8.7,22
tt1396499,5.7,25
tt1396500,6.3,19
tt1396501,7.5,72
tt1396503,7.9,57
tt1396504,6.7,10
tt1396505,6.3,64
tt1396506,7.9,9
tt1396507,7.2,19
tt1396511,7.3,30
tt13965128,8.2,37
tt13965160,8.7,222
tt1396519,6.4,6
tt1396521,7.6,6
tt1396522,9.2,24
tt1396523,5.3,4428
tt1396524,6.6,13
tt13965276,10.0,7
tt1396532,6.5,30
tt1396536,6.7,13
tt1396537,8.5,24
tt1396538,7.0,18
tt1396539,6.2,7
tt1396540,7.8,21
tt13965400,9.2,9
tt1396543,5.1,28
tt1396544,7.5,10
tt1396547,6.8,19
tt1396550,8.8,11
tt1396553,7.7,15
tt13965568,6.0,12
tt1396557,7.2,5183
tt1396560,6.8,17
tt1396562,9.4,18
tt1396563,8.1,12
tt1396564,8.3,57
tt1396567,7.9,9
tt1396570,7.7,22
tt1396571,6.5,39
tt13965716,4.8,36
tt1396572,5.8,42
tt1396573,5.0,33
tt1396579,5.4,182
tt1396580,7.0,7
tt1396582,6.2,12
tt1396584,9.9,16
tt1396588,8.0,10
tt1396592,6.0,41
tt1396605,5.7,47
tt1396621,8.6,28
tt1396622,5.1,21
tt1396636,7.5,37
tt1396643,7.0,9
tt13966438,8.2,17
tt1396644,8.5,10
tt1396645,8.2,11
tt1396655,6.0,9
tt1396657,6.8,5
tt1396659,7.7,10
tt13966644,6.7,86
tt13966660,7.4,85
tt1396670,6.9,49
tt1396673,8.2,26
tt13966916,8.7,11
tt1396696,6.8,7
tt13966962,5.9,45949
tt1396699,7.3,12
tt1396700,3.6,24
tt13967182,7.7,10
tt13967218,7.0,235
tt13967234,7.7,12
tt13967314,9.8,9
tt13967316,9.7,8
tt13967318,9.7,7
tt13967322,9.7,7
tt13967330,9.6,7
tt13967354,7.6,8
tt13967366,7.1,28
tt13967368,5.6,179
tt13967388,6.9,20
tt13967414,7.3,8
tt13967470,9.4,9
tt13967474,8.3,2894
tt13967478,6.3,52
tt13967526,6.8,223
tt13967588,8.6,7
tt13967590,7.6,87
tt13967694,6.5,14
tt1396770,7.2,38
tt13967702,8.6,11
tt13967754,8.2,10
tt13967784,5.1,53
tt13967808,7.8,133
tt13967810,8.5,54
tt13967818,6.4,12
tt13967834,6.9,62
tt13967988,4.3,277
tt13968008,6.9,45
tt13968012,6.6,9
tt13968014,7.4,11
tt13968016,4.7,119
tt13968116,1.7,24
tt13968160,6.7,92
tt13968174,6.9,21
tt13968208,9.8,9
tt13968210,8.0,58
tt13968212,9.8,10
tt13968216,9.8,9
tt13968220,9.8,9
tt13968222,9.6,10
tt13968224,8.2,6
tt13968260,6.5,76
tt13968270,5.6,26
tt13968324,9.4,59
tt13968330,9.1,54
tt13968348,7.9,75
tt13968354,7.8,73
tt13968356,8.2,86
tt13968362,7.8,57
tt13968380,5.3,1051
tt13968396,6.2,229
tt13968402,8.9,47
tt13968406,8.2,13
tt13968412,8.7,46
tt13968426,7.4,7
tt13968482,5.5,179
tt13968500,7.9,15
tt13968522,9.0,63
tt13968532,5.0,7
tt13968538,6.8,8
tt13968550,6.0,25
tt13968556,6.2,20
tt13968558,6.1,19
tt13968560,5.8,20
tt13968574,6.3,10
tt13968648,7.4,7
tt13968662,6.7,113
tt13968674,5.8,9617
tt13968694,6.1,2923
tt13968752,5.8,284
tt13968766,5.8,30
tt13968792,6.3,4057
tt13968794,5.9,683
tt13968804,8.5,361
tt13968846,6.5,15
tt13968890,9.4,122
tt13968904,8.5,19
tt13968934,3.4,29
tt13969146,8.0,25
tt1396924,7.4,19
tt13969242,10.0,9
tt1396927,9.6,12
tt1396930,7.9,47
tt1396931,4.0,16
tt13969352,8.3,27
tt1396940,6.1,8
tt1396941,9.3,19
tt13969438,6.8,7
tt1396945,8.1,11
tt1396946,6.2,43
tt1396948,4.4,78
tt1396954,7.3,70
tt13969542,8.4,9
tt13969640,6.7,27
tt1396968,7.7,6
tt13969732,9.4,21
tt1396976,6.3,30
tt13969784,10.0,9
tt1396984,6.0,14
tt13969862,8.2,27
tt13969986,8.4,6
tt13970002,6.6,34
tt1397001,9.2,16
tt13970050,6.4,27
tt1397010,8.1,20
tt13970100,7.2,36
tt1397014,7.1,46
tt13970148,5.8,303
tt1397016,6.7,11
tt1397017,7.2,6
tt1397018,7.6,11
tt13970200,6.2,148
tt13970236,6.6,7
tt13970294,7.5,44
